LISTEN 0      511                                      127.0.0.1:45975 0.0.0.0:* users:(("code",pid=761454,fd=95))            
LISTEN 0      10                                      172.17.0.1:33849 0.0.0.0:* users:(("rygel",pid=757174,fd=31))           
LISTEN 0      10                                       127.0.0.1:40138 0.0.0.0:* users:(("rygel",pid=757174,fd=15))           
LISTEN 0      5                                        127.0.0.1:61209 0.0.0.0:*                                              
LISTEN 0      10                                      172.19.0.1:35002 0.0.0.0:* users:(("rygel",pid=757174,fd=27))           
LISTEN 0      10                                      172.18.0.1:46341 0.0.0.0:* users:(("rygel",pid=757174,fd=23))           
LISTEN 0      4096                                     127.0.0.1:11434 0.0.0.0:*                                              
LISTEN 0      511                                      127.0.0.1:9135  0.0.0.0:* users:(("node",pid=1434502,fd=18))           
LISTEN 0      5                                        127.0.0.1:8766  0.0.0.0:* users:(("python",pid=809812,fd=4))           
LISTEN 0      4096                                 127.0.0.53%lo:53    0.0.0.0:*                                              
LISTEN 0      511                                      127.0.0.1:5332  0.0.0.0:* users:(("code",pid=764763,fd=44))            
LISTEN 0      10                                       10.0.0.99:39693 0.0.0.0:* users:(("rygel",pid=757174,fd=19))           
LISTEN 0      4096                                     127.0.0.1:631   0.0.0.0:*                                              
LISTEN 0      4096                                       0.0.0.0:10300 0.0.0.0:*                                              
LISTEN 0      4096                                       0.0.0.0:10400 0.0.0.0:*                                              
LISTEN 0      4096                                       0.0.0.0:10200 0.0.0.0:*                                              
LISTEN 0      4096                                       0.0.0.0:8222  0.0.0.0:*                                              
LISTEN 0      5                                          0.0.0.0:8765  0.0.0.0:* users:(("python3",pid=11275,fd=3))           
LISTEN 0      4096                                       0.0.0.0:9001  0.0.0.0:*                                              
LISTEN 0      4096                                       0.0.0.0:9000  0.0.0.0:*                                              
LISTEN 0      4096                                       0.0.0.0:8000  0.0.0.0:*                                              
LISTEN 0      128                                        0.0.0.0:8123  0.0.0.0:*                                              
LISTEN 0      4096                                       0.0.0.0:6379  0.0.0.0:*                                              
LISTEN 0      4096                                       0.0.0.0:5432  0.0.0.0:*                                              
LISTEN 0      4096                                       0.0.0.0:5678  0.0.0.0:*                                              
LISTEN 0      4096                                       0.0.0.0:4222  0.0.0.0:*                                              
LISTEN 0      4096                                    127.0.0.54:53    0.0.0.0:*                                              
